HeroRank,VillainRank,CharacterID,CharacterName,CharacterType,Actor,ActorID,Gender,Film,FilmCode,FilmReleaseYear,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,RTCriticScore,RTAudienceScore
N/A,20,20,Man,Villain,Voiced by Paul Starrs,64,M,Bambi,66,1942,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,72
N/A,21,21,Mrs. Eleanor Iselin,Villain,Angela Lansbury,65,F,The Manchurian Candidate,67,1962,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,98,90
N/A,22,22,Terminator,Villain,Arnold Schwarzenegger,43,M,The Terminator,68,1984,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,100,89
N/A,23,23,Eve Harrington,Villain,Anne Baxter,66,F,All About Eve,69,1950,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,94
N/A,24,24,Gordon Gekko,Villain,Michael Douglas,67,M,Wall Street,70,1987,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,81
N/A,25,25,Jack Torrance,Villain,Jack Nicholson,68,M,The Shining,71,1980,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,93
N/A,26,26,Cody Jarrett,Villain,James Cagney,69,M,White Heat,72,1949,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,93
N/A,27,27,Martians,Villain,Various,70,U,The War of the Worlds,73,1953,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,85,71
N/A,28,28,Max Cady,Villain,Robert Mitchum,71,M,Cape Fear,74,1962,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,100,86
N/A,29,29,Reverend Harry Powell,Villain,Robert Mitchum,71,M,The Night of the Hunter,75,1955,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,98,90
N/A,30,30,Travis Bickle,Villain,Robert De Niro,72,M,Taxi Driver,76,1976,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,93
N/A,31,31,Mrs. Danvers,Villain,Judith Anderson,73,F,Rebecca,77,1940,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,100,92
N/A,32,32,Clyde Barrow,Villain,Warren Beatty,74,M,Bonnie and Clyde,78,1967,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,88
N/A,32,33,Bonnie Parker,Villain,Faye Dunaway,75,F,Bonnie and Clyde,78,1967,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,88
N/A,33,34,Count Dracula,Villain,Bela Lugosi,76,M,Dracula,79,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,81
N/A,34,35,Dr. Szell,Villain,Laurence Olivier,77,M,Marathon Man,80,1976,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,80,81
N/A,35,36,J.J. Hunsecker,Villain,Burt Lancaster,78,M,Sweet Smell of Success,81,1957,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,92
N/A,36,37,Frank Booth,Villain,Dennis Hopper,79,M,Blue Velvet,82,1986,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,94,88
