HeroRank,VillainRank,CharacterID,CharacterName,CharacterType,Actor,ActorID,Gender,Film,FilmCode,FilmReleaseYear,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,Film-Noir,History,Horror,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western,RTCriticScore,RTAudienceScore
43,N/A,59,Moses,H,Charlton Heston,38,M,The Ten Commandments,42,1956,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,87
44,N/A,58,"Jimmy ""Popeye"" Doyle",H,Gene Hackman,39,M,The French Connection,43,1971,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,98,87
45,N/A,57,Zorro,H,Tyrone Power,40,M,The Mark of Zorro,44,1940,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,100,78
46,N/A,56,Batman,H,Michael Keaton,41,M,Batman,45,1989,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72,84
47,N/A,55,Karen Silkwood,H,Meryl Streep,42,F,Silkwood,46,1983,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,75,78
48,N/A,54,The T-800,H,Arnold Schwarzenegger,43,M,Terminator 2: Judgment Day,47,1991,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,93,94
49,N/A,53,Andrew Beckett,H,Tom Hanks,44,M,Philadelphia,48,1993,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,89
50,N/A,52,General Maximus Decimus Meridius,H,Russell Crowe,45,M,Gladiator,49,2000,Y,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,76,87
N/A,1,1,Dr. Hannibal Lecter,V,Anthony Hopkins,46,M,The Silence of the Lambs,6,1991,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,95,95
N/A,2,2,Norman Bates,V,Anthony Perkins,47,M,Psycho,50,1960,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,97,94
N/A,3,3,Darth Vader,V,David Prowse (voiced by James Earl Jones),48,M,The Empire Strikes Back,51,1980,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,94,97
N/A,4,4,The Wicked Witch of the West,V,Margaret Hamilton,49,F,The Wizard of Oz,52,1939,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,89
N/A,5,5,Nurse Ratched,V,Louise Fletcher,50,F,One Flew Over the Cuckoo's Nest,53,1975,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95,96
N/A,6,6,Mr. Potter,V,Lionel Barrymore,51,M,It's a Wonderful Life,9,1946,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,95,94
N/A,7,7,Alex Forrest,V,Glenn Close,52,F,Fatal Attraction,54,1987,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,78,71
N/A,8,8,Phyllis Dietrichson,V,Barbara Stanwyck,53,F,Double Indemnity,55,1944,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,96,95
N/A,9,9,"Regan MacNeil (as possessed by ""Satan"")",V,Linda Blair (voiced by Mercedes McCambridge),54,F,The Exorcist,56,1973,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,86,87
N/A,10,10,The Evil Queen,V,Voice of Lucille La Verne,55,F,Snow White and the Seven Dwarfs,57,1937,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,N/A,N/A,N/A,98,78
N/A,11,11,Michael Corleone,V,Al Pacino,35,M,The Godfather Part II,58,1974,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97,97
N/A,12,12,Alex DeLarge,V,Malcolm McDowell,56,M,A Clockwork Orange,59,1971,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,91,93
N/A,13,13,HAL 9000,V,Voice of Douglas Rain,57,M,2001: A Space Odyssey,60,1968,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,94,89
N/A,14,14,The Alien,V,Bolaji Badejo,58,M,Alien,61,1979,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,97,94
N/A,15,15,Amon Goeth,V,Ralph Fiennes,59,M,Schindler's List,13,1993,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,97,97
N/A,16,16,Noah Cross,V,John Huston,60,M,Chinatown,62,1974,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,98,93
N/A,17,17,Annie Wilkes,V,Kathy Bates,61,F,Misery,63,1990,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,89,89
N/A,18,18,The Shark,V,"""Bruce""",62,A,Jaws,64,1975,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,97,90
N/A,19,19,Captain Bligh,V,Charles Laughton,63,M,Mutiny on the Bounty,65,1935,N/A,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,94,83
N/A,20,20,Man,V,Voiced by Paul Starrs,64,M,Bambi,66,1942,N/A,N/A,Y,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,72
N/A,21,21,Mrs. Eleanor Iselin,V,Angela Lansbury,65,F,The Manchurian Candidate,67,1962,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,98,90
N/A,22,22,Terminator,V,Arnold Schwarzenegger,43,M,The Terminator,68,1984,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,100,89
N/A,23,23,Eve Harrington,V,Anne Baxter,66,F,All About Eve,69,1950,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,94
N/A,24,24,Gordon Gekko,V,Michael Douglas,67,M,Wall Street,70,1987,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,78,81
N/A,25,25,Jack Torrance,V,Jack Nicholson,68,M,The Shining,71,1980,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,87,93
N/A,26,26,Cody Jarrett,V,James Cagney,69,M,White Heat,72,1949,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,93
N/A,27,27,Martians,V,Various,70,U,The War of the Worlds,73,1953,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,Y,N/A,N/A,85,71
N/A,28,28,Max Cady,V,Robert Mitchum,71,M,Cape Fear,74,1962,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,100,86
N/A,29,29,Reverend Harry Powell,V,Robert Mitchum,71,M,The Night of the Hunter,75,1955,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,98,90
N/A,30,30,Travis Bickle,V,Robert De Niro,72,M,Taxi Driver,76,1976,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,93
N/A,31,31,Mrs. Danvers,V,Judith Anderson,73,F,Rebecca,77,1940,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,100,92
N/A,32,32,Clyde Barrow,V,Warren Beatty,74,M,Bonnie and Clyde,78,1967,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,88
N/A,32,33,Bonnie Parker,V,Faye Dunaway,75,F,Bonnie and Clyde,78,1967,Y,N/A,N/A,Y,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,89,88
N/A,33,34,Count Dracula,V,Bela Lugosi,76,M,Dracula,79,1931,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91,81
N/A,34,35,Dr. Szell,V,Laurence Olivier,77,M,Marathon Man,80,1976,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,80,81
N/A,35,36,J.J. Hunsecker,V,Burt Lancaster,78,M,Sweet Smell of Success,81,1957,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,92
N/A,36,37,Frank Booth,V,Dennis Hopper,79,M,Blue Velvet,82,1986,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,94,88
N/A,37,38,Harry Lime,V,Orson Welles,80,M,The Third Man,83,1949,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,99,93
N/A,38,39,Caesar Enrico Bandello,V,Edward G. Robinson,81,M,Little Caesar,84,1931,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,91,75
N/A,39,40,Cruella De Vil,V,Voice by Betty Lou Gerson,82,F,One Hundred and One Dalmatians,85,1961,N/A,Y,Y,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,98,75
N/A,40,41,Freddy Krueger,V,Robert Englund,83,M,A Nightmare on Elm Street,86,1984,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,94,83
N/A,41,42,Joan Crawford,V,Faye Dunaway,75,F,Mommie Dearest,87,1981,N/A,N/A,N/A,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,54,72
N/A,42,43,Tom Powers,V,James Cagney,69,M,The Public Enemy,88,1931,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,84
N/A,43,44,Regina Giddens,V,Bette Davis,84,F,The Little Foxes,89,1941,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,100,88
N/A,44,45,Baby Jane Hudson,V,Bette Davis,84,F,What Ever Happened to Baby Jane?,90,1962,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,92,92
N/A,45,46,The Joker,V,Jack Nicholson,68,M,Batman,45,1989,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,72,84
N/A,46,47,Hans Gruber,V,Alan Rickman,85,M,Die Hard,91,1988,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,93,94
N/A,47,48,Tony Camonte,V,Paul Muni,86,M,Scarface,92,1932,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,100,86
N/A,48,49,"Roger ""Verbal"" Kint (Keyser Soze)",V,Kevin Spacey,87,M,The Usual Suspects,93,1995,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,Y,N/A,N/A,88,96
N/A,49,50,Auric Goldfinger,V,Gert Frobe (voiced by Michael Collins),88,M,Goldfinger,94,1964,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,97,89
N/A,50,51,Detective Alonzo Harris,V,Denzel Washington,89,M,Training Day,95,2001,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,N/A,N/A,72,89
